slug,styleName,visualDNA,inspirations,wallpaperImages,cssImports,cardInfoTitle,cardInfoDescription,cardInfoThumbnailURL,cardInfoNotes
midnight-neon-hideout,Midnight Neon Hideout,"Moody synthwave gradients, holographic accents, and glassy panels built for late-night creation sprints. Electric cyan and magenta pulse against deep indigo shadows.",Synthwave skylines|Neon signage|Night mode workspaces|Digital clubhouses,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1526401485004-46910ecc8e51?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Barlow:wght@400;500;600&family=Chivo+Mono:wght@400;500&family=DM+Serif+Display:wght@400&display=swap,Midnight Neon Hideout,"A neon-drenched toolkit with glass panels, cyan glows, and analog synth mood.",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=600&q=80,"Ideal for music apps, live collaboration rooms, or nightlife communities."
monochrome-code,Monochrome Code,"Pure black-and-white interface, monospace snippets, and grid cards tuned for developer-first experiences.",Vercel docs aesthetic|GitLab pipelines|Railway console,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1453928582365-b6ad33cbcf64?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;600&family=Inter:wght@400;600&display=swap,Monochrome Code,"Minimalist dev tooling palette with grid consoles, CLI callouts, and terminal chic.",https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=600&q=80,"Use split panes, ASCII dividers, and dark-light toggle previews."
neo-brutalist,Neo-Brutalist,"Raw monochrome shells, thick outlines, and unapologetic HTML vibes with utility green accents.",Brutalist.website showcases|Indie hacker landing pages|Gumroad product experiments,https://images.unsplash.com/photo-1469474968028-56623f02e42e?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1526481280695-3c3695125d11?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1487058792275-0ad4aaf24ca7?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;700&family=Roboto:wght@400;500&display=swap,Neo-Brutalist,"Blocky layouts, hard borders, and limited color for maximal attitude.",https://images.unsplash.com/photo-1469474968028-56623f02e42e?auto=format&fit=crop&w=600&q=80,"Pair with oversized CTAs, monochrome galleries, and no-frills forms."
neon-maximalist,Neon Maximalist,"Fluoro palette, layered GIF energy, and glitch edges designed for chaotic culture drops.",Razzle-Dazzle microsites|MTV throwback bumpers|Adult Swim interstitials,https://images.unsplash.com/photo-1545239351-1141bd82e8a6?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1526312426976-f4d754fa9bd6?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Chakra+Petch:wght@500;600&family=Unbounded:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Neon Maximalist,"A kaleidoscopic kit with glow typography, gradient halos, and rave-ready UI treatments.",https://images.unsplash.com/photo-1545239351-1141bd82e8a6?auto=format&fit=crop&w=600&q=80,"Stack marquee text, animated stickers, and aggressive hover flashes."
playful-3d,Playful 3D,"Primary colors, WebGL bricks, and hover bounce interactions for gamified interfaces.",LEGO Kids experiences|Nintendo Labo playful UI|Minecraft Education dashboards,https://images.unsplash.com/photo-1531297484001-80022131f5a1?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1521572267360-ee0c2909d518?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Fredoka:wght@500;600&family=Roboto:wght@400;500&family=IBM+Plex+Mono:wght@400;500&display=swap,Playful 3D,"Chunky shapes, bubbly typography, and playful motion for kid-friendly 3D interfaces.",https://images.unsplash.com/photo-1531297484001-80022131f5a1?auto=format&fit=crop&w=600&q=80,"Deploy floating blocks, perspective cards, and bounce easing on hover."
playful-illustration,Playful Illustration,"Chunky vector doodles, pastel punch, and asymmetric tiles that keep microcopy cheeky and approachable.",Mailchimp illustration tone|Slack onboarding energy|Headspace calm humor,https://images.unsplash.com/photo-1559028012-481c04fa702d?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1545239351-1141bd82e8a6?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1522252234503-e356532cafd5?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Baloo+2:wght@500;600&family=Libre+Baskerville:wght@400;500&family=Fira+Code:wght@400;500&display=swap,Playful Illustration,A pastel-forward system with bubbly typography and sticker-like depth for whimsical products.,https://images.unsplash.com/photo-1559028012-481c04fa702d?auto=format&fit=crop&w=600&q=80,"Layer blobby backgrounds, wavy dividers, and anthropomorphic icons."
pop-data-viz,Pop Data-Viz,"Bright blocks, animated stats, and share-card ready colors for energetic metrics stories.",Spotify Wrapped|Apple Music Replay|Strava Year in Sport,https://images.unsplash.com/photo-1526498460520-4c246339dccb?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1556740749-887f6717d7e4?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1556157382-97eda2d62296?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;600&family=Plus+Jakarta+Sans:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Pop Data-Viz,"Punchy gradients, stacked stats, and shareable cards for recap moments.",https://images.unsplash.com/photo-1526498460520-4c246339dccb?auto=format&fit=crop&w=600&q=80,"Use animated number counters, sticker legends, and export-ready layouts."
sensory-editorial,Sensory Editorial,"Earth-toned gradients, slow fades, and fragrance-first storytelling for boutique experiences.",Aesop product tales|Le Labo sensorial layouts|Byredo editorial features,https://images.unsplash.com/photo-1535467439962-271064be0f04?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1514846326710-096e4a8035e0?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Cardo:wght@400;500&family=Work+Sans:wght@400;500&family=IBM+Plex+Mono:wght@400;500&display=swap,Sensory Editorial,"Muted perfumes of color, indulgent typography, and cinematic ambient energy.",https://images.unsplash.com/photo-1535467439962-271064be0f04?auto=format&fit=crop&w=600&q=80,"Use soft vignette overlays, slow dissolve transitions, and delicate pull quotes."
skeuo-story,Skeuo-Story,"Scrap-book edges, taped photos, and warm skeuomorphic layers for narrative timelines.",IKEA museum timelines|LEGO history chronologies|Disney100 scrapbook moments,https://images.unsplash.com/photo-1523731407965-2430cd12f5e4?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1473186578172-c141e6798cf4?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1517840933437-c41356892b95?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Grandstander:wght@500;600&family=Source+Sans+Pro:wght@400;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Skeuo-Story,"A tactile storytelling kit with torn paper edges, pushpins, and artifact callouts.",https://images.unsplash.com/photo-1523731407965-2430cd12f5e4?auto=format&fit=crop&w=600&q=80,"Use notebook backdrops, pinned badges, and timeline sliders with haptic cues."
ultra-minimal,Ultra Minimal,"Cathedral whitespace, surgical typography, and precision grayscale with only intentional accent pulses.",Apple product detail pages|Tesla reserve flow|Muji catalog calm,https://images.unsplash.com/photo-1505691938895-1758d7feb511?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1481277542470-605612bd2d61?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1563089145-599997674d42?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600&family=IBM+Plex+Serif:wght@400;500&family=IBM+Plex+Mono:wght@400;500&display=swap,Ultra Minimal,A grayscale-first theme that lets product photography and subtle motion carry the narrative.,https://images.unsplash.com/photo-1505691938895-1758d7feb511?auto=format&fit=crop&w=600&q=80,"Lean on macro white margins, hairline dividers, and soft fade transitions."
vibrant-gradient,Vibrant Gradient,"Kaleidoscopic gradient washes, energetic blobs, and playful UI tokens.",Adobe Creative Cloud campaigns|Instagram gradient evolutions|Spotify artist promos,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Manrope:wght@400;600&family=Fredoka:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Vibrant Gradient,"Luminous blends, floating cards, and upbeat copy built for expressive brands.",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=600&q=80,"Use layered gradient blobs, animated transitions, and confetti UI."
vintage-luxury,Vintage Luxury,"Sepia draped palettes, collage vignettes, and serif-led storytelling with museum-grade detailing.",Gucci Vault editorial|Burberry archive treatments|Hermès heritage printmaking,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1511288595-5c2670c1b2d4?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1603145733148-3d8663d094b0?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Tenor+Sans&family=Playfair+Display:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Vintage Luxury,Old-world glamour with gold-leaf warmth and heirloom typography for prestige brands.,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?auto=format&fit=crop&w=600&q=80,"Use patina textures, collage masks, and slow crossfades."
